date,feelslike,precip,windspeed,avg_duration,count
2018-11-01,10.600,0.000,7.100,827.339,3431
2018-11-02,0.300,0.000,6.000,848.992,4137
2018-11-05,7.600,0.000,9.900,904.694,4678
2018-11-06,11.100,0.000,6.900,875.529,4943
2018-11-07,12.100,0.000,27.000,852.818,3637
2018-11-08,7.600,0.000,13.100,881.522,4796
2018-11-09,7.200,0.000,12.500,865.716,4272
2018-11-12,11.000,0.000,11.200,938.312,4371
2018-11-13,6.600,0.000,16.100,890.450,4894
2018-11-14,11.000,0.000,13.500,869.605,4858
2018-11-15,12.500,0.000,6.600,881.563,4927
2018-11-16,10.500,0.000,6.700,845.019,4124
2018-11-19,5.500,0.000,16.300,873.782,3403
2018-11-20,1.300,0.000,19.800,829.020,3328
2018-11-21,-1.100,0.000,10.900,857.855,3888
2018-11-22,3.100,0.000,4.600,852.673,3977
2018-11-23,5.100,0.000,7.900,820.995,3678
2018-11-26,4.500,0.000,10.500,853.980,4236
2018-11-27,2.100,0.000,8.000,847.257,4506
2018-11-28,12.100,0.000,17.700,840.505,3566
2018-11-29,13.000,0.000,32.400,811.815,3338
2018-11-30,5.700,0.000,14.400,844.914,3907
